domain,Organization,email_pattern
EBF.EU,EBF - European Banking Federation,{firstinitial}.{lastname}@{domain}
EIB.org,EIB ,{firstinitial}.{lastname}@{domain}
abi.it,,{firstinitial}.{lastname}@{domain}
acbrussels.be,Volvo,{firstinitial}.{lastname}@{domain}
accademiabelgio.eu,Federchimica,{firstinitial}.{lastname}@{domain}
acem.eu,ACEM,{firstinitial}.{lastname}@{domain}
acv-csc.be,ALGEMEEN CHRISTELIJK VAKVERBOND,{firstinitial}.{lastname}@{domain}
ad-virtua.be,AdVirtua,{firstinitial}.{lastname}@{domain}
ads-insight.com,ADS Insight,{firstinitial}.{lastname}@{domain}
aer.eu,AER - Assembly of European Regions,{firstinitial}.{lastname}@{domain}
aesgp.eu,AESGP - ,{firstinitial}.{lastname}@{domain}
afep.com,AFEP - Association Française des Entreprises Privées,{firstinitial}.{lastname}@{domain}
aifi.it,"AIFI - Italian Private Equity, Venture Capital and Private Debt Association",{firstinitial}.{lastname}@{domain}
alice.it,European Commission,{firstinitial}.{lastname}@{domain}
amf-france.org,AMF - Autorité des marché financiers,{firstinitial}.{lastname}@{domain}
anacofi.asso.fr,Anacofi,{firstinitial}.{lastname}@{domain}
anf-france.org,AMF - Autorité des marché financiers,{firstinitial}.{lastname}@{domain}
apeal.be,Association of European Producers of Steel for Packaging,{firstinitial}.{lastname}@{domain}
apxendex.com,APX-ENDEX,{firstinitial}.{lastname}@{domain}
asfac.pt,ASFAC - Associacao de Instituicoes de Crédito Especializado,{firstinitial}.{lastname}@{domain}
ashfords.co.uk,Ashfords,{firstinitial}.{lastname}@{domain}
aspim.fr,ASPIM - Association française des sociétés de placement immobilier,{firstinitial}.{lastname}@{domain}
asre.nl,KR&A,{firstinitial}.{lastname}@{domain}
assosim.it,ASSOSIM -Associazione Intermediari Mercati Finanziari,{firstinitial}.{lastname}@{domain}
aston.ac.uk,Aston Business School,{firstinitial}.{lastname}@{domain}
atee.fr,ATEE,{firstinitial}.{lastname}@{domain}
athexgroup.gr,ATHEX - Athens Exchange Group,{firstinitial}.{lastname}@{domain}
attijariwafa.com,Attijariwafa Bank ,{firstinitial}.{lastname}@{domain}
auma.de,AUMA,{firstinitial}.{lastname}@{domain}
aurubis.com,Aurubis Belgium,{firstinitial}.{lastname}@{domain}
avocat.be,Delwaide Avocats Advocaten,{firstinitial}.{lastname}@{domain}
axema.fr,AXEMA,{firstinitial}.{lastname}@{domain}
axxion.lu,Axxion,{firstinitial}.{lastname}@{domain}
bcci.bg,BCCI - Bulgarian Chamber of Commerce and Industry,{firstinitial}.{lastname}@{domain}
bcee.lu,BCEE - Banque et Caisse d'Epargne de l'Etat,{firstinitial}.{lastname}@{domain}
bdi.eu,BDI/BDA - The German Business Representation,{firstinitial}.{lastname}@{domain}
be-tse.com,iBe TSE,{firstinitial}.{lastname}@{domain}
benchmarks.eu,EMMI - European Money Markets Institute,{firstinitial}.{lastname}@{domain}
betaalvereniging.nl,,{firstinitial}.{lastname}@{domain}
betiad.be,Bediat Federation,{firstinitial}.{lastname}@{domain}
bhhpa.org.uk,European Federation of Campingsite Organisations and Holiday Park Associations,{firstinitial}.{lastname}@{domain}
bitkom.org,Bitkom,{firstinitial}.{lastname}@{domain}
bkr.nl,Stichting BKR,{firstinitial}.{lastname}@{domain}
boersen-zeitung.de,,{firstinitial}.{lastname}@{domain}
bourgogne.cci.fr,CCI  Bourgogne,{firstinitial}.{lastname}@{domain}
bouygues.com ,Bouygues,{firstinitial}.{lastname}@{domain}
brgm.fr,BRGM,{firstinitial}.{lastname}@{domain}
bwf-verband.de,BWF - Bundesverband der Wertpapierfirmen,{firstinitial}.{lastname}@{domain}
cabi.org,CABI - CAB International,{firstinitial}.{lastname}@{domain}
